nba_player_list_2
Name,Points,Asist,Board,Salary
Antonio Blakeney,7.3,1.9,0.7,1588231
Malcolm Miller,3.5,0.5,0.1,1588231
Chris Boucher,3.3,2,0.1,1588231
Tyrone Wallace,3.5,1.6,0.7,1588231
Alfonzo McKinnie,4.7,3.4,0.4,1588231
Mitchell Robinson,7.3,6.4,0.6,1559712
Isaiah Roby,NAN,NAN,NAN,1500000
Nigel Williams-Goss,NAN,NAN,NAN,1500000
J.R. Smith,6.7,1.6,1.9,1456667
Shake Milton,4.4,1.8,0.9,1445697
Thanasis Antetokounmpo,3,0.5,0,1445697
Theo Pinson,4.5,2,1.2,1445697
Brad Wanamaker,3.9,1.1,1.6,1445697
Ryan Broekhoff,4,1.5,0.5,1443842
Kenrich Williams,6.1,4.8,1.8,1443842
Gary Trent Jr.,2.7,0.7,0.3,1416852
Chimezie Metu,1.8,1.2,0.4,1416852
?lie Okobo,5.7,1.8,2.4,1416852
Jevon Carter,4.4,1.7,1.8,1416852
Melvin Frazier,1.5,0.5,0.1,1416852
Deonte Burton,2.6,0.9,0.3,1416852
Hamidou Diallo,3.7,1.9,0.3,1416852
Keita Bates-Diop,5,2.8,0.6,1416852
De'Anthony Melton,5,2.7,3.2,1416852
Alize Johnson,0.9,1.4,0.1,1416852
Sviatoslav Mykhailiuk,3.2,0.9,0.9,1416852
Bruce Brown,4.3,2.5,1.2,1416852
Jarred Vanderbilt,1.4,1.4,0.2,1416852
Devonte' Graham,4.7,1.4,2.6,1416852
Duncan Robinson,3.3,1.3,0.3,1416852
Gary Clark,2.9,2.3,0.4,1416852
Isaiah Hartenstein,1.9,1.7,0.5,1416852
Jemerrio Jones,4.5,8.2,2.2,1416852
Kendrick Nunn,NAN,NAN,NAN,1416852
Michael Frazier,NAN,NAN,NAN,1416852
Jalen Brunson,9.3,2.3,3.2,1416582
Bruno Fernando,NAN,NAN,NAN,1400000
Jaylen Nowell,NAN,NAN,NAN,1400000
Kevin Porter Jr.,NAN,NAN,NAN,1290960
Carsen Edwards,NAN,NAN,NAN,1200000
Cody Martin,NAN,NAN,NAN,1173310
George Hill,7.6,2.5,2.3,1000000
Terance Mann,NAN,NAN,NAN,1000000
Jonathon Simmons,6.5,2.3,2.3,1000000
Justin Hamilton,6.1,3.6,0.8,1000000
Kyle Singler,6.5,2.9,0.8,999200
Admiral Schofield,NAN,NAN,NAN,898310
KZ Okpala,NAN,NAN,NAN,898310
Eric Paschall,NAN,NAN,NAN,898310
Nicolas Claxton,NAN,NAN,NAN,898310
Justin James,NAN,NAN,NAN,898310
Ignas Brazdeikis,NAN,NAN,NAN,898310
Talen Horton-Tucker,NAN,NAN,NAN,898310
Daniel Gafford,NAN,NAN,NAN,898310
Alen Smailagi?,NAN,NAN,NAN,898310
Miye Oni,NAN,NAN,NAN,898310
Naz Reid,NAN,NAN,NAN,898310
Dewan Hernandez,NAN,NAN,NAN,898310
